Name,wals_code,iso_code,glottocode,latitude,longitude,genus,family,1A,2A Vowel Quality Inventories,3A Consonant-Vowel Ratio,4A Voicing in Plosives and Fricatives,5A Voicing and Gaps in Plosive Systems,6A Uvular Consonants,7A Glottalized Consonants,8A Lateral Consonants,9A The Velar Nasal,10A Vowel Nasalization,11A Front Rounded Vowels,12A Syllable Structure,13A Tone,14A Fixed Stress Locations,15A Weight-Sensitive Stress,16A Weight Factors in Weight-Sensitive Stress Systems,17A Rhythm Types,18A Absence of Common Consonants,19A Presence of Uncommon Consonants,20A Fusion of Selected Inflectional Formatives,21A Exponence of Selected Inflectional Formatives,22A Inflectional Synthesis of the Verb,23A Locus of Marking in the Clause,24A Locus of Marking in Possessive Noun Phrases,25A Locus of Marking: Whole-language Typology,26A Prefixing vs. Suffixing in Inflectional Morphology,27A Reduplication,28A Case Syncretism,29A Syncretism in Verbal Person/Number Marking,30A Number of Genders,31A Sex-based and Non-sex-based Gender Systems,32A Systems of Gender Assignment,33A Coding of Nominal Plurality,34A Occurrence of Nominal Plurality,35A Plurality in Independent Personal Pronouns,36A The Associative Plural,37A Definite Articles,38A Indefinite Articles,39A Inclusive/Exclusive Distinction in Independent Pronouns,40A Inclusive/Exclusive Distinction in Verbal Inflection,41A Distance Contrasts in Demonstratives,42A Pronominal and Adnominal Demonstratives,43A Third Person Pronouns and Demonstratives,44A Gender Distinctions in Independent Personal Pronouns,45A Politeness Distinctions in Pronouns,46A Indefinite Pronouns,47A Intensifiers and Reflexive Pronouns,48A Person Marking on Adpositions,49A Number of Cases,50A Asymmetrical Case-Marking,51A Position of Case Affixes,52A Comitatives and Instrumentals,53A Ordinal Numerals,54A Distributive Numerals,55A Numeral Classifiers,56A Conjunctions and Universal Quantifiers,57A Position of Pronominal Possessive Affixes,58A Obligatory Possessive Inflection,59A Possessive Classification,"60A Genitives, Adjectives and Relative Clauses",61A Adjectives without Nouns,62A Action Nominal Constructions,63A Noun Phrase Conjunction,64A Nominal and Verbal Conjunction,65A Perfective/Imperfective Aspect,66A The Past Tense,67A The Future Tense,68A The Perfect,69A Position of Tense-Aspect Affixes,70A The Morphological Imperative,71A The Prohibitive,72A Imperative-Hortative Systems,73A The Optative,74A Situational Possibility,75A Epistemic Possibility,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,78A Coding of Evidentiality,79A Suppletion According to Tense and Aspect,80A Verbal Number and Suppletion,"81A Order of Subject, Object and Verb",82A Order of Subject and Verb,83A Order of Object and Verb,"84A Order of Object, Oblique, and Verb",85A Order of Adposition and Noun Phrase,86A Order of Genitive and Noun,87A Order of Adjective and Noun,88A Order of Demonstrative and Noun,89A Order of Numeral and Noun,90A Order of Relative Clause and Noun,91A Order of Degree Word and Adjective,92A Position of Polar Question Particles,93A Position of Interrogative Phrases in Content Questions,94A Order of Adverbial Subordinator and Clause,95A Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,96A Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,97A Relationship between the Order of Object and Verb and the Order of Adjective and Noun,98A Alignment of Case Marking of Full Noun Phrases,99A Alignment of Case Marking of Pronouns,100A Alignment of Verbal Person Marking,101A Expression of Pronominal Subjects,102A Verbal Person Marking,103A Third Person Zero of Verbal Person Marking,104A Order of Person Markers on the Verb,105A Ditransitive Constructions: The Verb 'Give',106A Reciprocal Constructions,107A Passive Constructions,108A Antipassive Constructions,109A Applicative Constructions,110A Periphrastic Causative Constructions,111A Nonperiphrastic Causative Constructions,112A Negative Morphemes,113A Symmetric and Asymmetric Standard Negation,114A Subtypes of Asymmetric Standard Negation,115A Negative Indefinite Pronouns and Predicate Negation,116A Polar Questions,117A Predicative Possession,118A Predicative Adjectives,119A Nominal and Locational Predication,120A Zero Copula for Predicate Nominals,121A Comparative Constructions,122A Relativization on Subjects,123A Relativization on Obliques,124A 'Want' Complement Subjects,125A Purpose Clauses,126A 'When' Clauses,127A Reason Clauses,128A Utterance Complement Clauses,129A Hand and Arm,130A Finger and Hand,131A Numeral Bases,132A Number of Non-Derived Basic Colour Categories,133A Number of Basic Colour Categories,134A Green and Blue,135A Red and Yellow,136A M-T Pronouns,137A N-M Pronouns,138A Tea,139A Irregular Negatives in Sign Languages,140A Question Particles in Sign Languages,141A Writing Systems,142A Para-Linguistic Usages of Clicks,143F Postverbal Negative Morphemes,90B Prenominal relative clauses,144Y The Position of Negative Morphemes in Object-Initial Languages,90C Postnominal relative clauses,144P NegSOV Order,144J SVNegO Order,144N Obligatory Double Negation in SOV languages,144S SOVNeg Order,144X Verb-Initial with Clause-Final Negative,"144A Position of Negative Word With Respect to Subject, Object, and Verb",90G Double-headed relative clauses,90E Correlative relative clauses,144V Verb-Initial with Preverbal Negative,144I SNegVO Order,144R SONegV Order,143B Obligatory Double Negation,144M Multiple Negative Constructions in SOV Languages,144U Double negation in verb-initial languages,144G Optional Double Negation in SVO languages,144K SVONeg Order,144B Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,144F Obligatory Double Negation in SVO languages,90D Internally-headed relative clauses,144E Multiple Negative Constructions in SVO Languages,144D The Position of Negative Morphemes in SVO Languages,"81B Languages with two Dominant Orders of Subject, Object, and Verb",143E Preverbal Negative Morphemes,143C Optional Double Negation,90F Adjoined relative clauses,143A Order of Negative Morpheme and Verb,144W Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,144O Optional Double Negation in SOV languages,144Q SNegOV Order,144L The Position of Negative Morphemes in SOV Languages,144H NegSVO Order,144C Languages with different word order in negative clauses,144T The Position of Negative Morphemes in Verb-Initial Languages,143G Minor morphological means of signaling negation,143D Optional Triple Negation,39B Inclusive/Exclusive Forms in Pama-Nyungan,137B M in Second Person Singular,136B M in First Person Singular,109B Other Roles of Applied Objects,10B Nasal Vowels in West Africa,25B Zero Marking of A and P Arguments,21B Exponence of Tense-Aspect-Mood Inflection,108B Productivity of the Antipassive Construction,130B Cultural Categories of Languages with Identity of 'Finger' and 'Hand',58B Number of Possessive Nouns,79B Suppletion in Imperatives and Hortatives
Aché,ach,guq,ache1246,-25.25,-55.16666667,Tupi-Guaraní,Tupian,1 Small,2 Average (5-6),2 Moderately low,1 No voicing contrast,1 Other,1 None,1 No glottalized consonants,"3 Laterals, but no /l/, no obstruent laterals",,,1 None,1 Simple,,,,,,1 All present,1 None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ainu,ain,ain,ainu1240,43,143,Ainu,Ainu,1 Small,2 Average (5-6),2 Moderately low,1 No voicing contrast,1 Other,1 None,1 No glottalized consonants,1 No laterals,3 No velar nasal,2 Contrast absent,1 None,2 Moderately complex,2 Simple tone system,,,,,1 All present,1 None,,,3 4-5 categories per word,4 No marking,1 Head marking,5 Inconsistent or other,4 Equal prefixing and suffixing,2 Full reduplication only,1 No case marking,3 Not syncretic,1 None,1 No gender,1 No gender,2 Plural suffix,"4 All nouns, always optional",3 Person-number affixes,1 Associative same as additive plural,,,5 Inclusive/exclusive,5 Inclusive/exclusive,2 Two-way contrast,2 Different stem,1 Unrelated,6 No gender distinctions,2 Binary politeness distinction,1 Interrogative-based,,3 Pronouns only,9 Exclusively borderline case-marking,2 Symmetrical,9 No case affixes or adpositional clitics,2 Differentiation,1 None,6 Marked by following word,2 Optional,"3 Formally similar, with interrogative",1 Possessive prefixes,2 Absent,1 No possessive classification,4 Adjectives and relative clauses collapsed,,,1 'And' different from 'with',2 Differentiation,2 No grammatical marking,4 No past tense,2 No inflectional future,4 No perfect,2 Tense-aspect suffixes,4 Second person number-neutral,2 Normal imperative + special negative,4 Neither type of system,2 Inflectional optative absent,2 Verbal constructions,3 Other,2 Overlap for either possibility or necessity,3 Direct and indirect,2 Verbal affix or clitic,4 None,"3 Singular-plural pairs, suppletion",1 SOV,1 SV,1 OV,,1 Postpositions,1 Genitive-Noun,1 Adjective-Noun,1 Demonstrative-Noun,1 Numeral-Noun,2 Relative clause-Noun,,2 Final,2 Not initial interrogative phrase,2 Final subordinator word,1 OV and Postpositions,1 OV and RelN,1 OV and AdjN,1 Neutral,1 Neutral,6 Split,2 Subject affixes on verb,5 Both the A and P arguments,5 Zero in all 3rd person forms,2 A precedes P,3 Secondary-object construction,2 Distinct from reflexive,1 Present,3 No antipassive,3 Benefactive and other; both bases,,2 Morphological but no compound,2 Negative particle,1 Symmetric,7 Non-assignable,1 Predicate negation also present,1 Question particle,5 'Have',1 Verbal encoding,1 Different,1 Impossible,,,,1 Subject is left implicit,1 Balanced,1 Balanced,1 Balanced,1 Balanced,1 Identical,,3 Pure vigesimal,,,,,1 No M-T pronouns,1 No N-M pronouns,,,,,,4 None,1 Relative clause-Noun (RelN) dominant,,,4 No NegSOV,,,11 NoSOVNeg,,7 SONegV,,,,,1 Word&NoDoubleNeg,,,,,,3 Immed preverbal,,,,,,1 NegV,,,1 NegV,,,4 No SNegOV,3 SONegV,,,,4 None,,,1 No m in second person singular,1 No m in first person singular,3 Instrument and locative,,2 Non-zero marking,,4 no antipassive,,1 None reported,5 None (= no suppletive imperatives reported in the reference material)
Akawaio,akw,ake,akaw1239,6,-59.5,Cariban,Cariban,1 Small,3 Large (7-14),1 Low,4 In both plosives and fricatives,2 None missing in /p t k b d g/,1 None,1 No glottalized consonants,1 No laterals,,,1 None,2 Moderately complex,1 No tones,,,,,1 All present,1 None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Secondary-object construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,abm,akz,alab1237,32.33333333,-87.41666667,Muskogean,Muskogean,1 Small,1 Small (2-4),4 Moderately high,2 In plosives alone,1 Other,1 None,1 No glottalized consonants,4 /l/ and lateral obstruent,3 No velar nasal,,1 None,,,,,,,1 All present,1 None,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,,,,,,,1 Interrogative-based,,,,,,,,,,,,,,,,,1 'And' different from 'with',,,,,,,,,,,,,,2 Indirect only,2 Verbal affix or clitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Locational,1 Verbal encoding,1 Different,2 Possible,,,,,,,,,2 Different,2 Different,1 Decimal,,,,,,,3 Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amahuaca,amc,amc,amah1246,-10.5,-72.5,Panoan,Panoan,1 Small,1 Small (2-4),3 Average,1 No voicing contrast,1 Other,1 None,1 No glottalized consonants,1 No laterals,,1 Contrast present,1 None,,,,,,,1 All present,5 'Th' sounds,,,,,,,2 Strongly suffixing,,,,,,,,,,,5 No definite or indefinite article,5 No definite or indefinite article,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,1 Possessive prefixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,,2 Indirect only,2 Verbal affix or clitic,,,7 No dominant order,3 No dominant order,1 OV,,1 Postpositions,1 Genitive-Noun,2 Noun-Adjective,1 Demonstrative-Noun,,,2 Adjective-Degree word,3 Second position,,,1 OV and Postpositions,,2 OV and NAdj,,,,,,,,,,,,,,,1 Negative affix,,,,1 Question particle,,,,,,,,,,,,,2 Different,1 Identical,,,,,,,,,,,,,2 [V-Neg],,,,,,,,,,,,,,,,,,,,,,,,,,4 None,,,4 [V-Neg],,,,,,,,4 None,,,,,,,,,,2 Farmer-foragers,,
Andoke,adk,ano,ando1256,-0.6666666667,-72,Andoke,Andoke,1 Small,3 Large (7-14),1 Low,2 In plosives alone,4 Missing /g/,1 None,1 No glottalized consonants,1 No laterals,3 No velar nasal,,1 None,1 Simple,2 Simple tone system,,,,,4 No nasals,1 None,,,,,,,,3 No productive reduplication,,,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,1 Identity,,,,,,,,,,,1 'And' different from 'with',,,,,,,1 Second singular and second plural,,,,,,,3 Direct and indirect,2 Verbal affix or clitic,,,,,,,1 Postpositions,1 Genitive-Noun,,1 Demonstrative-Noun,,,,,,,,,,,,,,,,,,,,,,,,,1 Symmetric,7 Non-assignable,,,,,,,1 Locational,,,,,,,,,,3 Pure vigesimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angaatiha,ant,agm,anga1290,-7.216666667,146.25,Angan,Trans-New Guinea,1 Small,2 Average (5-6),1 Low,1 No voicing contrast,1 Other,1 None,1 No glottalized consonants,"3 Laterals, but no /l/, no obstruent laterals",,,1 None,2 Moderately complex,2 Simple tone system,,,,,3 No fricatives,1 None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/5/2015,4 7-7.5,1 Green vs. blue,1 Red vs. yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ao,ao,njo,aona1235,26.58333333,94.66666667,Kuki-Chin,Sino-Tibetan,1 Small,2 Average (5-6),2 Moderately low,3 In fricatives alone,1 Other,1 None,1 No glottalized consonants,"2 /l/, no obstruent laterals",,2 Contrast absent,1 None,2 Moderately complex,3 Complex tone system,,,,,1 All present,1 None,,,,,,,3 Weakly suffixing,,,,,,,2 Plural suffix,,,,2 Demonstrative word used as definite article,2 Indefinite word same as 'one',,,2 Two-way contrast,1 Identical,,,,,,,,,6 Postpositional clitics,,,,,,1 Possessive prefixes,,,,,,,,,,,,2 Tense-aspect suffixes,4 Second person number-neutral,2 Normal imperative + special negative,,,,,,,,,,1 SOV,1 SV,1 OV,,1 Postpositions,1 Genitive-Noun,2 Noun-Adjective,2 Noun-Demonstrative,2 Noun-Numeral,7 Mixed,1 Degree word-Adjective,2 Final,2 Not initial interrogative phrase,4 Subordinating suffix,1 OV and Postpositions,5 Other,2 OV and NAdj,,,,1 Obligatory pronouns in subject position,,,,,,,,,,,1 Negative affix,,,,1 Question particle,,,,,,,,,,,,,,,,,,,,,,,,,,,2 [V-Neg],3 RelN or internally-headed,,,4 No NegSOV,,,6 Suffix&OnlyWithAnotherNeg,,19 OptDoubleNeg,,,,,4 Prefix&OptDoubleNeg,,,,,,,,2 Internally-headed or RelN,,,,2 [Neg-V],7 [Neg-V(-Neg)],,15 OptDoubleNeg,,6 SO[Neg-V(-Neg)],4 No SNegOV,17 OptDoubleNeg,,,,4 None,,,,,,,,,,,,
Apinayé,api,apn,apin1244,-5.5,-48,Ge-Kaingang,Macro-Ge,1 Small,3 Large (7-14),1 Low,1 No voicing contrast,1 Other,1 None,1 No glottalized consonants,1 No laterals,,,1 None,,1 No tones,,,,,1 All present,1 None,,,,,,,,1 Productive full and partial reduplication,,,,,,7 Plural word,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,1 Possessive prefixes,,,,,,,,,,,,,2 Second singular,,,,,,,,,,,1 SOV,1 SV,1 OV,3 XOV,1 Postpositions,1 Genitive-Noun,2 Noun-Adjective,2 Noun-Demonstrative,,,,1 Initial,1 Initial interrogative phrase,,1 OV and Postpositions,,2 OV and NAdj,,,,,,,,,,,,,,,,,,,1 Question particle,,,,,,,,,,,,,2 Different,2 Different,,5/5/2015,2 4.5-5.5,2 Green/blue,1 Red vs. yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apurinã,apu,apu,apur1254,-9,-67,Purus,Arawakan,1 Small,2 Average (5-6),3 Average,1 No voicing contrast,1 Other,1 None,1 No glottalized consonants,1 No laterals,3 No velar nasal,1 Contrast present,1 None,1 Simple,1 No tones,1 No fixed stress,3 Right-edge: Ultimate or penultimate,2 Long vowel,1 Trochaic,1 All present,1 None,1 Exclusively concatenative,5 No case,4 6-7 categories per word,1 Head marking,1 Head marking,1 Head-marking,4 Equal prefixing and suffixing,3 No productive reduplication,1 No case marking,3 Not syncretic,2 Two,2 Sex-based,3 Semantic and formal,2 Plural suffix,"6 All nouns, always obligatory",3 Person-number affixes,4 No associative plural,5 No definite or indefinite article,5 No definite or indefinite article,3 No inclusive/exclusive,3 No inclusive/exclusive,2 Two-way contrast,1 Identical,5 Related by gender markers,3 3rd person singular only,1 No politeness distinction,,2 Differentiated,1 No adpositions,9 Exclusively borderline case-marking,2 Symmetrical,6 Postpositional clitics,,1 None,,1 Absent,,1 Possessive prefixes,2 Absent,1 No possessive classification,,,1 Sentential,,3 Both expressed by juxtaposition,2 No grammatical marking,4 No past tense,1 Inflectional future exists,4 No perfect,2 Tense-aspect suffixes,3 Second plural,,4 Neither type of system,2 Inflectional optative absent,2 Verbal constructions,2 Affixes on verbs,,2 Indirect only,2 Verbal affix or clitic,4 None,1 None,2 SVO,1 SV,3 No dominant order,6 No dominant order,1 Postpositions,1 Genitive-Noun,2 Noun-Adjective,1 Demonstrative-Noun,1 Numeral-Noun,1 Noun-Relative clause,,6 No question particle,1 Initial interrogative phrase,1 Initial subordinator word,5 Other,5 Other,5 Other,1 Neutral,1 Neutral,4 Active,2 Subject affixes on verb,5 Both the A and P arguments,2 No zero realization,2 A precedes P,4 Mixed,2 Distinct from reflexive,1 Present,3 No antipassive,8 No applicative construction,,2 Morphological but no compound,2 Negative particle,1 Symmetric,7 Non-assignable,,6 Interrogative intonation only,,,,,,,,4 Desiderative verbal affix,,1 Balanced,1 Balanced,1 Balanced,,,,,,,,1 No M-T pronouns,1 No N-M pronouns,,,,,,4 None,,,1 Noun-Relative clause (NRel) dominant,,7 No SVNegO,,,,16 More than one position,,,,1 Word&NoDoubleNeg,,,,,,4 No SVONeg,,,,2 NegSVO/SNegVO,13 More than one construction,,1 NegV,,,1 NegV,,,,,1 NoDoubleNeg,,,4 None,,,2 m in second person singular,1 No m in first person singular,5 No applicative construction,,2 Non-zero marking,1 monoexponential TAM,4 no antipassive,,1 None reported,5 None (= no suppletive imperatives reported in the reference material)
